Column,Data_Type,Total_Values,Missing_Count,Missing_Percentage,Unique_Values,Min,Max,Mean,Top_Value,Top_Value_Count
loan_amnt,float32,100000,0,0.0,1350,1000.0,35000.0,15055.8603515625,,
term,object,100000,0,0.0,2,,,, 36 months,68053.0
int_rate,float32,100000,0,0.0,81,5.320000171661377,28.989999771118164,12.200478553771973,,
grade,object,100000,0,0.0,7,,,,B,30772.0
sub_grade,object,100000,0,0.0,35,,,,B3,6601.0
emp_length,object,100000,6112,6.11,11,,,,10+ years,33591.0
home_ownership,object,100000,0,0.0,4,,,,MORTGAGE,49477.0
annual_inc,float32,100000,0,0.0,7913,0.0,9000000.0,78371.3515625,,
verification_status,object,100000,0,0.0,3,,,,Source Verified,42260.0
loan_status,object,100000,0,0.0,7,,,,Fully Paid,70288.0
purpose,object,100000,0,0.0,12,,,,debt_consolidation,56914.0
addr_state,object,100000,0,0.0,49,,,,CA,13435.0
dti,float32,100000,2,0.0,4067,0.0,999.0,19.250957489013672,,
delinq_2yrs,int16,100000,0,0.0,19,,,,0,79155.0
open_acc,int16,100000,0,0.0,58,,,,9,8601.0
revol_bal,float32,100000,0,0.0,38169,0.0,898146.0,17673.15625,,
revol_util,float32,100000,37,0.04,1122,0.0,152.5,52.498985290527344,,
total_acc,int16,100000,0,0.0,108,,,,20,3658.0
total_pymnt,float32,100000,0,0.0,90687,0.0,57291.0,15155.9013671875,,
total_rec_prncp,float32,100000,0,0.0,26047,0.0,35000.0,12136.01953125,,
total_rec_int,float32,100000,0,0.0,84064,0.0,24125.830078125,2797.622802734375,,
last_pymnt_amnt,float32,100000,0,0.0,65556,0.0,36307.01171875,4176.5341796875,,
application_type,object,100000,0,0.0,2,,,,Individual,99498.0
is_default,int64,100000,0,0.0,2,0.0,1.0,0.18244,,
loan_status_category,object,100000,0,0.0,4,,,,Fully Paid,70288.0
